IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type,Duplicate,Duplicate1
tt3526078,Schitt's Creek,2015–2020,TV-14,11 Feb 2015,22 min,Comedy,N/A,"Dan Levy, Eugene Levy","Eugene Levy, Catherine O'Hara, Dan Levy",English,"Canada, United States",8.5,,,series,False,False
tt4051832,Lovesick,2014–2018,TV-MA,15 Apr 2015,24 min,Comedy,N/A,Tom Edge,"Johnny Flynn, Antonia Thomas, Daniel Ings",English,United Kingdom,8.1,,,series,False,False
tt4973548,Flaked,2016–,TV-MA,11 Mar 2016,30 min,"Comedy, Drama, Romance",N/A,"Will Arnett, Mark Chappell","Will Arnett, David Sullivan, Ruth Kearney",English,United States,7.2,,,series,False,False
tt4635276,Master of None,2015–,TV-MA,06 Nov 2015,30 min,"Comedy, Drama",N/A,"Aziz Ansari, Alan Yang","Aziz Ansari, Eric Wareheim, Lena Waithe",English,United States,8.3,,,series,False,False
tt5672036,Chelsea,2016–2017,TV-MA,11 May 2016,30 min,"Comedy, Talk-Show",N/A,N/A,"Chelsea Handler, Jeff Wild, Daniel Maurio",English,United States,6.0,,,series,False,False
tt6333098,Abstract: The Art of Design,2017–,TV-14,21 Jan 2017,45 min,Documentary,N/A,N/A,"Platon, Cas Holman, Ian Spalter",English,United States,8.4,,,series,False,False
tt4452688,Cooper Barrett's Guide to Surviving Life,2016,TV-14,03 Jan 2016,30 min,Comedy,N/A,Jay Lacopo,"Jack Cutmore-Scott, Meaghan Rath, James Earl",English,United States,6.3,,,series,False,False
tt4384086,Life in Pieces,2015–2019,TV-14,21 Sep 2015,22 min,Comedy,N/A,Justin Adler,"Colin Hanks, Betsy Brandt, Thomas Sadoski",English,United States,8.0,,,series,False,False
tt4094300,Crazy Ex-Girlfriend,2015–2019,TV-14,12 Oct 2015,42 min,"Comedy, Musical",N/A,"Rachel Bloom, Aline Brosh McKenna","Rachel Bloom, Donna Lynne Champlin, Vincent Rodriguez III",English,United States,7.8,,,series,False,False
tt5562056,Easy,2016–,TV-MA,22 Sep 2016,30 min,Comedy,N/A,Joe Swanberg,"Michael Chernus, Jane Adams, Elizabeth Reaser",English,United States,6.9,,,series,False,False
tt5595688,No Tomorrow,2016–2017,TV-PG,04 Oct 2016,43 min,"Comedy, Drama, Romance",N/A,"Corinne Brinkerhoff, Scott McCabe, Tory Stanton","Joshua Sasse, Tori Anderson, Jonathan Langdon",English,United States,7.3,,,series,False,False
tt3810760,Minimalism: A Documentary About the Important Things,2015,Not Rated,15 Dec 2016,78 min,Documentary,Matt D'Avella,N/A,"Dan Harris, Ryan Nicodemus, Rick Hanson",English,United States,6.7,,,movie,False,False
tt6333104,Hot Girls Wanted: Turned On,2017,TV-MA,21 Apr 2017,280 min,Documentary,N/A,N/A,"James Rhine, Lena Anderson, James Bartholet",English,United States,6.6,,,series,False,False
tt3155328,Win It All,2017,TV-MA,07 Apr 2017,88 min,Comedy,Joe Swanberg,"Jake Johnson, Joe Swanberg","Jake Johnson, Rony Shemon, Morgan Ng",English,United States,6.2,85%,77/100,movie,False,False
tt2195324,Giorni della Merla,2011,N/A,06 Jun 2011,78 min,Drama,"Diego Brentano, Niklas Leifert","Diego Brentano, Niklas Leifert","Diego Brentano, Moss Kabaka, Niklas Leifert, Stephanie Müller-Hagen",German,Switzerland,N/A,,,movie,False,False
tt6616074,Amy Schumer: The Leather Special,2017,TV-MA,06 Mar 2017,57 min,Comedy,Amy Schumer,Amy Schumer,"Amy Schumer, Kim Caramele",English,United States,2.9,50%,,movie,False,False
tt6736782,Louis C.K. 2017,2017,TV-MA,04 Apr 2017,74 min,Comedy,Louis C.K.,Louis C.K.,Louis C.K.,English,United States,7.6,95%,,movie,False,False
tt6963504,Dave Chappelle,2017,N/A,N/A,66 min,"Documentary, Comedy",N/A,N/A,Dave Chappelle,English,United States,8.7,,,series,False,False
