IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0102803,The Rocketeer,1991,PG,21 Jun 1991,108 min,"Action, Adventure, Family",Joe Johnston,"Dave Stevens, Danny Bilson, Paul De Meo","Billy Campbell, Jennifer Connelly, Alan Arkin","English, German",United States,6.5,66%,61/100,movie
tt0265662,The Rookie,2002,G,29 Mar 2002,127 min,"Drama, Family, Sport",John Lee Hancock,Mike Rich,"Dennis Quaid, J.D. Evermore, Rachel Griffiths",English,United States,6.9,84%,72/100,movie
tt0817307,The Sandlot: Heading Home,2007,PG,01 May 2007,96 min,"Family, Sport",William Dear,"Keith Mitchell, Allie Dvorin, David Mickey Evans (based upon characters created by), Robert Gunter (based upon characters created by)","Danny Nucci, Luke Perry, Keanu Pires, Sarah Deakins",English,"USA, Canada",5.0,,,movie
tt0111070,The Santa Clause,1994,PG,11 Nov 1994,97 min,"Comedy, Drama, Family",John Pasquin,"Leo Benvenuti, Steve Rudnick","Tim Allen, Judge Reinhold, Wendy Crewson","English, Spanish","United States, Canada",6.5,72%,57/100,movie
tt0304669,The Santa Clause 2,2002,G,01 Nov 2002,104 min,"Comedy, Family, Fantasy",Michael Lembeck,"Don Rhymer, Cinco Paul, Ken Daurio","Tim Allen, Spencer Breslin, Elizabeth Mitchell",English,"United States, Canada",5.7,56%,48/100,movie
tt0452681,The Santa Clause 3: The Escape Clause,2006,G,03 Nov 2006,92 min,"Adventure, Comedy, Family",Michael Lembeck,"Ed Decter, John J. Strauss, Leo Benvenuti","Tim Allen, Martin Short, Elizabeth Mitchell",English,"United States, Canada",4.8,17%,32/100,movie
tt0313634,The Scream Team,2002,TV-PG,11 Oct 2002,100 min,"Comedy, Family, Fantasy, Horror",Stuart Gillard,"Robert Short (story), Dan Berendsen (story), Dan Berendsen (teleplay)","Mark Rendall, Kat Dennings, Robert Bockstael, Eric Idle",English,United States,6.5,,,movie
tt0496386,Bao hu lu de mi mi,2007,G,18 Jul 2008,84 min,"Drama, Family",Frankie Chung,Tianyi Zhang,"Corbin Bleu, Peisi Chen, Aaron Michael Drozin","Mandarin, English","China, Hong Kong, United States",5.2,,,movie
tt0075200,The Shaggy D.A.,1976,G,17 Dec 1976,91 min,"Comedy, Family, Fantasy",Robert Stevenson,"Don Tait, Felix Salten","Dean Jones, Suzanne Pleshette, Tim Conway",English,United States,5.9,50%,60/100,movie
tt0053271,The Shaggy Dog,1959,Approved,19 Mar 1959,104 min,"Comedy, Family, Fantasy",Charles Barton,"Bill Walsh, Lillie Hayward, Felix Salten","Fred MacMurray, Jean Hagen, Tommy Kirk",English,United States,6.5,68%,45/100,movie
tt0054307,The Sign of Zorro,1958,G,11 Jun 1960,91 min,"Adventure, Drama, Family","Lewis R. Foster, Norman Foster","Norman Foster, Lowell S. Hawley, Bob Wehling","Guy Williams, Henry Calvin, Gene Sheldon",English,United States,7.1,,,movie
tt0096697,The Simpsons,1989–,TV-PG,17 Dec 1989,22 min,"Animation, Comedy",N/A,"James L. Brooks, Matt Groening, Sam Simon","Dan Castellaneta, Nancy Cartwright, Harry Shearer","English, Spanish, Albanian, French, Japanese, German, Russian, Hindi, Swahili, Italian, Swedish, Turkish, Cantonese, Mandarin, Hebrew, Arabic, Klingon, Bengali, Czech, Chinese",United States,8.7,89%,,series
tt0078281,The Small One,1978,G,16 Dec 1978,26 min,"Animation, Short, Family","Don Bluth, Jack Cutting, Wolfgang Reitherman","Vance Gerry, Peter Young, Charles Tazewell","Sean Marshall, William Woodson, Olan Soule",English,United States,7.7,,,movie
tt0059742,The Sound of Music,1965,G,01 Apr 1965,172 min,"Biography, Drama, Family",Robert Wise,"George Hurdalek, Howard Lindsay, Russel Crouse","Julie Andrews, Christopher Plummer, Eleanor Parker","English, German",United States,8.0,83%,63/100,movie
