imdb_id,platform_id
tt0197911,P02
tt0198781,P02
tt0200208,P02
tt0203247,P02
tt0203268,P02
tt0206064,P02
tt0206446,P02
tt0206511,P02
tt0207120,P02
tt0207972,P02
tt0208101,P02
tt0208185,P02
tt0210945,P02
tt0211174,P02
tt0211181,P02
tt0213334,P02
tt0213565,P02
tt0217990,P02
tt0218440,P02
tt0219222,P02
tt0219813,P02
tt0219854,P02
tt0220099,P02
tt0230011,P02
tt0238414,P02
tt0240462,P02
tt0240684,P02
tt0244764,P02
tt0245380,P02
tt0246834,P02
tt0247638,P02
tt0247827,P02
tt0248808,P02
tt0249677,P02
tt0250593,P02
tt0250754,P02
tt0253550,P02
tt0256466,P02
tt0257325,P02
tt0257778,P02
tt0265632,P02
tt0265662,P02
tt0266543,P02
tt0266850,P02
tt0268380,P02
tt0271172,P02
tt0271271,P02
tt0273366,P02
tt0273842,P02
tt0274240,P02
tt0274557,P02
tt0274636,P02
tt0274728,P02
tt0274761,P02
tt0275847,P02
tt0276033,P02
tt0277514,P02
tt0278866,P02
tt0279967,P02
tt0280030,P02
tt0280050,P02
tt0281373,P02
tt0281905,P02
tt0282123,P02
tt0282223,P02
tt0282521,P02
tt0283084,P02
tt0283426,P02
tt0286639,P02
tt0287003,P02
tt0291082,P02
tt0293737,P02
tt0294425,P02
tt0296251,P02
tt0299172,P02
tt0299943,P02
tt0300865,P02
tt0301454,P02
tt0301935,P02
tt0304669,P02
tt0306841,P02
tt0311289,P02
tt0313634,P02
tt0313680,P02
tt0317132,P02
tt0317219,P02
tt0317705,P02
tt0318403,P02
tt0318850,P02
tt0322330,P02
tt0322389,P02
tt0323250,P02
tt0323642,P02
tt0323810,P02
tt0324572,P02
tt0324941,P02
tt0325980,P02
tt0327437,P02
tt0327698,P02
tt0328880,P02
tt0329783,P02
tt0338094,P02
tt0338852,P02
tt0340281,P02
tt0344864,P02
tt0348124,P02
tt0349205,P02
tt0349825,P02
tt0350194,P02
tt0353965,P02
tt0361089,P02
tt0361467,P02
tt0363771,P02
tt0364774,P02
tt0365109,P02
tt0365149,P02
tt0366777,P02
tt0368891,P02
tt0368933,P02
tt0371606,P02
tt0371746,P02
tt0371823,P02
tt0377770,P02
tt0379060,P02
tt0381006,P02
tt0382142,P02
tt0382932,P02
tt0382936,P02
tt0382937,P02
tt0383574,P02
tt0384696,P02
tt0385726,P02
tt0388980,P02
tt0393596,P02
tt0395479,P02
tt0396555,P02
tt0396652,P02
tt0397113,P02
tt0397313,P02
tt0397892,P02
tt0398286,P02
tt0399104,P02
tt0400497,P02
tt0401398,P02
tt0401729,P02
tt0405469,P02
tt0407121,P02
tt0410696,P02
tt0414078,P02
tt0416716,P02
tt0417415,P02
tt0423642,P02
tt0424279,P02
tt0426148,P02
tt0426371,P02
tt0426568,P02
tt0430932,P02
tt0435761,P02
tt0436339,P02
tt0436595,P02
tt0445990,P02
tt0446724,P02
tt0447854,P02
tt0447987,P02
tt0448090,P02
tt0449088,P02
tt0450455,P02
tt0451460,P02
tt0452681,P02
tt0455565,P02
tt0457993,P02
tt0458290,P02
tt0458339,P02
tt0462538,P02
tt0465234,P02
tt0465327,P02
tt0465925,P02
tt0465940,P02
tt0465997,P02
tt0467421,P02
tt0475293,P02
tt0478970,P02
tt0479113,P02
tt0485985,P02
tt0486761,P02
tt0489007,P02
tt0492956,P02
tt0493093,P02
tt0494716,P02
tt0496386,P02
tt0499448,P02
tt0499549,P02
tt0561332,P02
tt0756522,P02
tt0772145,P02
tt0780521,P02
tt0784896,P02
tt0790781,P02
tt0799922,P02
tt0800318,P02
tt0800369,P02
tt0805559,P02
tt0805905,P02
tt0810900,P02
tt0816401,P02
tt0816520,P02
tt0817307,P02
tt0823671,P02
tt0830298,P02
tt0837143,P02
tt0848228,P02
tt0852863,P02
tt0901686,P02
tt0902967,P02
tt0910970,P02
tt0923160,P02
tt0942378,P02
tt0945571,P02
tt0960731,P02
tt0962726,P02
tt0969647,P02
tt0976238,P02
tt0997047,P02
tt10055028,P02
tt1013542,P02
tt1014759,P02
tt10163846,P02
tt10167262,P02
tt1017465,P02
tt10196390,P02
tt10219416,P02
